Fecha;MP25;MP25_Original;PM10;Fue_Imputado
2020-01-01;15,0;15,0;46,0;0
2020-01-02;14,0;14,0;58,0;0
2020-01-03;16,0;16,0;63,0;0
2020-01-04;15,0;15,0;60,0;0
2020-01-05;14,0;14,0;46,0;0
2020-01-06;15,0;15,0;50,0;0
2020-01-07;13,0;13,0;53,0;0
2020-01-08;8,0;8,0;37,0;0
2020-01-09;11,0;11,0;49,0;0
2020-01-10;13,0;13,0;61,0;0
2020-01-11;14,0;14,0;57,0;0
2020-01-12;13,0;13,0;53,0;0
2020-01-13;14,0;14,0;57,0;0
2020-01-14;14,0;14,0;62,0;0
2020-01-15;13,0;13,0;74,0;0
2020-01-16;22,0;22,0;110,0;0
2020-01-17;22,0;22,0;90,0;0
2020-01-18;22,0;22,0;87,0;0
2020-01-19;17,0;17,0;62,0;0
2020-01-20;18,0;18,0;70,0;0
2020-01-21;17,0;17,0;78,0;0
2020-01-22;15,0;15,0;66,0;0
2020-01-23;12,0;12,0;59,0;0
2020-01-24;12,0;12,0;58,0;0
2020-01-25;15,0;15,0;61,0;0
2020-01-26;15,0;15,0;55,0;0
2020-01-27;13,0;13,0;57,0;0
2020-01-28;17,0;17,0;78,0;0
2020-01-29;10,0;10,0;44,0;0
2020-01-30;16,0;16,0;66,0;0
2020-01-31;17,0;17,0;73,0;0
2020-02-01;15,0;15,0;61,0;0
2020-02-02;12,0;12,0;56,0;0
2020-02-03;8,0;8,0;50,0;0
2020-02-04;8,0;8,0;47,0;0
2020-02-05;8,0;8,0;49,0;0
2020-02-06;10,0;10,0;53,0;0
2020-02-07;12,0;12,0;64,0;0
2020-02-08;14,0;14,0;64,0;0
2020-02-09;18,0;18,0;58,0;0
2020-02-10;17,0;17,0;73,0;0
2020-02-11;23,0;23,0;77,0;0
2020-02-12;21,0;21,0;69,0;0
2020-02-13;15,0;15,0;67,0;0
2020-02-14;24,0;24,0;84,0;0
2020-02-15;19,0;19,0;70,0;0
2020-02-16;16,0;16,0;53,0;0
2020-02-17;10,0;10,0;46,0;0
2020-02-18;14,0;14,0;70,0;0
2020-02-19;18,0;18,0;77,0;0
2020-02-20;23,0;23,0;92,0;0
2020-02-21;19,0;19,0;75,0;0
2020-02-22;17,0;17,0;57,0;0
2020-02-23;15,0;15,0;51,0;0
2020-02-24;15,0;15,0;62,0;0
2020-02-25;17,0;17,0;74,0;0
2020-02-26;20,0;20,0;86,0;0
2020-02-27;18,0;18,0;83,0;0
2020-02-28;23,0;23,0;94,0;0
2020-02-29;25,0;25,0;83,0;0
2020-03-01;15,0;15,0;48,0;0
2020-03-02;17,0;17,0;67,0;0
2020-03-03;21,0;21,0;78,0;0
2020-03-04;21,0;21,0;79,0;0
2020-03-05;24,0;24,0;85,0;0
2020-03-06;22,0;22,0;88,0;0
2020-03-07;19,0;19,0;73,0;0
2020-03-08;13,0;13,0;48,0;0
2020-03-09;19,0;19,0;68,0;0
2020-03-10;20,0;20,0;89,0;0
2020-03-11;19,0;19,0;83,0;0
2020-03-12;13,0;13,0;62,0;0
2020-03-13;11,0;11,0;59,0;0
2020-03-14;12,0;12,0;58,0;0
2020-03-15;13,0;13,0;55,0;0
2020-03-16;18,51463583165671;;74,0;1
2020-03-17;25,392922816890366;;85,0;1
2020-03-18;25,082882252755784;;84,0;1
2020-03-19;26,3221804751706;;87,0;1
2020-03-20;31,433976840577035;;100,0;1
2020-03-21;17,039408311558525;;52,0;1
2020-03-22;10,923572969058888;;36,0;1
2020-03-23;16,36465138645169;;61,0;1
2020-03-24;16,444927563328918;;61,0;1
2020-03-25;14,589694193515712;;56,0;1
2020-03-26;20,972085249266005;;78,0;1
2020-03-27;16,0;16,0;52,0;0
2020-03-28;22,0;22,0;69,0;0
2020-03-29;20,0;20,0;60,0;0
2020-03-30;23,0;23,0;83,0;0
2020-03-31;18,0;18,0;87,0;0
2020-04-01;16,0;16,0;85,0;0
2020-04-02;19,0;19,0;101,0;0
2020-04-03;30,0;30,0;122,0;0
2020-04-04;26,0;26,0;101,0;0
2020-04-05;16,0;16,0;58,0;0
2020-04-06;16,0;16,0;82,0;0
2020-04-07;17,0;17,0;91,0;0
2020-04-08;26,0;26,0;109,0;0
2020-04-09;25,0;25,0;87,0;0
2020-04-10;21,0;21,0;64,0;0
2020-04-11;21,0;21,0;63,0;0
2020-04-12;25,0;25,0;58,0;0
2020-04-13;22,0;22,0;70,0;0
2020-04-14;24,0;24,0;86,0;0
2020-04-15;27,0;27,0;86,0;0
2020-04-16;31,0;31,0;102,0;0
2020-04-17;31,0;31,0;109,0;0
2020-04-18;23,0;23,0;81,0;0
2020-04-19;17,0;17,0;59,0;0
2020-04-20;18,0;18,0;82,0;0
2020-04-21;18,0;18,0;95,0;0
2020-04-22;26,0;26,0;110,0;0
2020-04-23;23,0;23,0;74,0;0
2020-04-24;15,0;15,0;54,0;0
2020-04-25;17,0;17,0;56,0;0
2020-04-26;10,0;10,0;32,0;0
2020-04-27;7,0;7,0;40,0;0
2020-04-28;12,0;12,0;63,0;0
2020-04-29;20,0;20,0;96,0;0
2020-04-30;28,0;28,0;112,0;0
2020-05-01;32,0;32,0;94,0;0
2020-05-02;30,0;30,0;78,0;0
2020-05-03;28,0;28,0;68,0;0
2020-05-04;23,0;23,0;85,0;0
2020-05-05;23,0;23,0;93,0;0
2020-05-06;31,0;31,0;122,0;0
2020-05-07;28,0;28,0;118,0;0
2020-05-08;38,0;38,0;128,0;0
2020-05-09;33,0;33,0;101,0;0
2020-05-10;22,0;22,0;55,0;0
2020-05-11;25,0;25,0;74,0;0
2020-05-12;26,0;26,0;96,0;0
2020-05-13;38,0;38,0;121,0;0
2020-05-14;28,0;28,0;103,0;0
2020-05-15;27,0;27,0;109,0;0
2020-05-16;25,0;25,0;86,0;0
2020-05-17;21,0;21,0;64,0;0
