FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200101;0000;15;;;
200102;0000;14;;;
200103;0000;16;;;
200104;0000;15;;;
200105;0000;14;;;
200106;0000;15;;;
200107;0000;13;;;
200108;0000;8;;;
200109;0000;11;;;
200110;0000;13;;;
200111;0000;14;;;
200112;0000;13;;;
200113;0000;14;;;
200114;0000;14;;;
200115;0000;13;;;
200116;0000;22;;;
200117;0000;22;;;
200118;0000;22;;;
200119;0000;17;;;
200120;0000;18;;;
200121;0000;17;;;
200122;0000;15;;;
200123;0000;12;;;
200124;0000;12;;;
200125;0000;15;;;
200126;0000;15;;;
200127;0000;13;;;
200128;0000;17;;;
200129;0000;10;;;
200130;0000;16;;;
200131;0000;17;;;
200201;0000;15;;;
200202;0000;12;;;
200203;0000;8;;;
200204;0000;8;;;
200205;0000;8;;;
200206;0000;10;;;
200207;0000;12;;;
200208;0000;14;;;
200209;0000;18;;;
200210;0000;17;;;
200211;0000;23;;;
200212;0000;21;;;
200213;0000;15;;;
200214;0000;24;;;
200215;0000;19;;;
200216;0000;16;;;
200217;0000;10;;;
200218;0000;14;;;
200219;0000;18;;;
200220;0000;23;;;
200221;0000;19;;;
200222;0000;17;;;
200223;0000;15;;;
200224;0000;15;;;
200225;0000;17;;;
200226;0000;20;;;
200227;0000;18;;;
200228;0000;23;;;
200229;0000;25;;;
200301;0000;15;;;
200302;0000;17;;;
200303;0000;21;;;
200304;0000;21;;;
200305;0000;24;;;
200306;0000;22;;;
200307;0000;19;;;
200308;0000;13;;;
200309;0000;19;;;
200310;0000;20;;;
200311;0000;19;;;
200312;0000;13;;;
200313;0000;11;;;
200314;0000;12;;;
200315;0000;13;;;
200316;0000;;;;
200317;0000;;;;
200318;0000;;;;
200319;0000;;;;
200320;0000;;;;
200321;0000;;;;
200322;0000;;;;
200323;0000;;;;
200324;0000;;;;
200325;0000;;;;
200326;0000;;;;
200327;0000;16;;;
200328;0000;22;;;
200329;0000;20;;;
200330;0000;23;;;
200331;0000;18;;;
200401;0000;16;;;
200402;0000;19;;;
200403;0000;30;;;
200404;0000;26;;;
200405;0000;16;;;
200406;0000;16;;;
200407;0000;17;;;
200408;0000;26;;;
200409;0000;25;;;
200410;0000;21;;;
200411;0000;21;;;
200412;0000;25;;;
200413;0000;22;;;
200414;0000;24;;;
200415;0000;27;;;
200416;0000;31;;;
200417;0000;31;;;
200418;0000;23;;;
200419;0000;17;;;
200420;0000;18;;;
200421;0000;18;;;
200422;0000;26;;;
200423;0000;23;;;
200424;0000;15;;;
200425;0000;17;;;
200426;0000;10;;;
200427;0000;7;;;
200428;0000;12;;;
200429;0000;20;;;
200430;0000;28;;;
200501;0000;32;;;
200502;0000;30;;;
200503;0000;28;;;
200504;0000;23;;;
200505;0000;23;;;
200506;0000;31;;;
200507;0000;28;;;
200508;0000;38;;;
200509;0000;33;;;
200510;0000;22;;;
200511;0000;25;;;
200512;0000;26;;;
200513;0000;38;;;
200514;0000;28;;;
200515;0000;27;;;
200516;0000;25;;;
200517;0000;21;;;
200518;0000;30;;;
200519;0000;31;;;
200520;0000;26;;;
200521;0000;18;;;
200522;0000;31;;;
200523;0000;33;;;
200524;0000;25;;;
200525;0000;26;;;
200526;0000;26;;;
200527;0000;35;;;
200528;0000;40;;;
200529;0000;43;;;
200530;0000;42;;;
200531;0000;46;;;
200601;0000;29;;;
200602;0000;38;;;
200603;0000;10;;;
200604;0000;23;;;
200605;0000;37;;;
200606;0000;35;;;
200607;0000;41;;;
200608;0000;42;;;
200609;0000;40;;;
200610;0000;45;;;
200611;0000;49;;;
200612;0000;19;;;
200613;0000;30;;;
200614;0000;24;;;
200615;0000;27;;;
200616;0000;39;;;
200617;0000;17;;;
200618;0000;33;;;
200619;0000;24;;;
200620;0000;28;;;
200621;0000;39;;;
200622;0000;35;;;
200623;0000;6;;;
200624;0000;6;;;
200625;0000;25;;;
200626;0000;25;;;
200627;0000;44;;;
200628;0000;33;;;
200629;0000;17;;;
200630;0000;20;;;
200701;0000;18;;;
200702;0000;32;;;
200703;0000;39;;;
200704;0000;12;;;
200705;0000;9;;;
200706;0000;25;;;
200707;0000;37;;;
200708;0000;24;;;
200709;0000;40;;;
200710;0000;51;;;
200711;0000;60;;;
200712;0000;59;;;
200713;0000;60;;;
200714;0000;37;;;
200715;0000;60;;;
200716;0000;58;;;
200717;0000;57;;;
200718;0000;45;;;
200719;0000;27;;;
200720;0000;13;;;
200721;0000;10;;;
200722;0000;14;;;
200723;0000;40;;;
200724;0000;25;;;
200725;0000;41;;;
200726;0000;71;;;
200727;0000;49;;;
200728;0000;49;;;
200729;0000;40;;;
200730;0000;32;;;
200731;0000;60;;;
200801;0000;44;;;
200802;0000;48;;;
200803;0000;41;;;
200804;0000;36;;;
200805;0000;15;;;
200806;0000;19;;;
200807;0000;46;;;
200808;0000;40;;;
200809;0000;31;;;
200810;0000;22;;;
200811;0000;22;;;
200812;0000;33;;;
200813;0000;36;;;
200814;0000;20;;;
200815;0000;39;;;
200816;0000;47;;;
200817;0000;26;;;
200818;0000;18;;;
200819;0000;28;;;
200820;0000;38;;;
200821;0000;33;;;
200822;0000;30;;;
200823;0000;15;;;
200824;0000;10;;;
200825;0000;12;;;
200826;0000;7;;;
200827;0000;14;;;
200828;0000;15;;;
200829;0000;12;;;
200830;0000;22;;;
200831;0000;20;;;
200901;0000;15;;;
200902;0000;27;;;
200903;0000;24;;;
200904;0000;28;;;
200905;0000;19;;;
200906;0000;24;;;
200907;0000;20;;;
200908;0000;20;;;
200909;0000;23;;;
200910;0000;16;;;
200911;0000;21;;;
200912;0000;41;;;
200913;0000;21;;;
200914;0000;22;;;
200915;0000;20;;;
200916;0000;26;;;
200917;0000;26;;;
200918;0000;24;;;
200919;0000;22;;;
200920;0000;19;;;
200921;0000;21;;;
200922;0000;19;;;
200923;0000;21;;;
200924;0000;22;;;
200925;0000;14;;;
200926;0000;7;;;
200927;0000;14;;;
200928;0000;16;;;
200929;0000;13;;;
200930;0000;9;;;
201001;0000;11;;;
201002;0000;11;;;
201003;0000;9;;;
201004;0000;6;;;
201005;0000;14;;;
201006;0000;14;;;
201007;0000;18;;;
201008;0000;14;;;
201009;0000;19;;;
201010;0000;14;;;
201011;0000;14;;;
201012;0000;15;;;
201013;0000;17;;;
201014;0000;21;;;
201015;0000;24;;;
201016;0000;18;;;
201017;0000;23;;;
201018;0000;20;;;
201019;0000;13;;;
201020;0000;12;;;
201021;0000;13;;;
201022;0000;18;;;
201023;0000;17;;;
201024;0000;12;;;
201025;0000;6;;;
201026;0000;15;;;
201027;0000;8;;;
201028;0000;11;;;
201029;0000;12;;;
201030;0000;16;;;
201031;0000;19;;;
201101;0000;13;;;
201102;0000;16;;;
201103;0000;17;;;
201104;0000;15;;;
201105;0000;12;;;
201106;0000;15;;;
201107;0000;14;;;
201108;0000;13;;;
201109;0000;14;;;
201110;0000;14;;;
201111;0000;14;;;
201112;0000;15;;;
201113;0000;12;;;
201114;0000;10;;;
201115;0000;8;;;
201116;0000;10;;;
201117;0000;13;;;
201118;0000;13;;;
201119;0000;11;;;
201120;0000;7;;;
201121;0000;7;;;
201122;0000;8;;;
201123;0000;8;;;
201124;0000;6;;;
201125;0000;10;;;
201126;0000;12;;;
201127;0000;17;;;
201128;0000;14;;;
201129;0000;9;;;
201130;0000;8;;;
201201;0000;11;;;
201202;0000;12;;;
201203;0000;9;;;
201204;0000;14;;;
201205;0000;15;;;
201206;0000;14;;;
201207;0000;12;;;
201208;0000;10;;;
201209;0000;9;;;
201210;0000;9;;;
201211;0000;10;;;
201212;0000;;;;
201213;0000;7;;;
201214;0000;9;;;
201215;0000;;;;
201216;0000;11;;;
201217;0000;14;;;
201218;0000;9;;;
201219;0000;9;;;
201220;0000;9;;;
201221;0000;10;;;
201222;0000;13;;;
201223;0000;16;;;
201224;0000;14;;;
201225;0000;12;;;
201226;0000;12;;;
201227;0000;9;;;
201228;0000;10;;;
201229;0000;10;;;
201230;0000;10;;;
201231;0000;14;;;
210101;0000;18;;;
210102;0000;11;;;
210103;0000;12;;;
210104;0000;11;;;
210105;0000;13;;;
210106;0000;15;;;
210107;0000;14;;;
210108;0000;12;;;
210109;0000;13;;;
210110;0000;5;;;
210111;0000;7;;;
210112;0000;9;;;
210113;0000;9;;;
210114;0000;13;;;
210115;0000;13;;;
210116;0000;10;;;
210117;0000;11;;;
210118;0000;16;;;
210119;0000;19;;;
210120;0000;17;;;
210121;0000;17;;;
210122;0000;17;;;
210123;0000;13;;;
210124;0000;13;;;
210125;0000;14;;;
210126;0000;13;;;
210127;0000;14;;;
210128;0000;11;;;
210129;0000;9;;;
210130;0000;6;;;
210131;0000;5;;;
210201;0000;7;;;
210202;0000;13;;;
210203;0000;14;;;
210204;0000;15;;;
210205;0000;15;;;
210206;0000;13;;;
210207;0000;16;;;
210208;0000;9;;;
210209;0000;11;;;
210210;0000;15;;;
210211;0000;12;;;
210212;0000;16;;;
210213;0000;13;;;
210214;0000;11;;;
210215;0000;12;;;
210216;0000;12;;;
210217;0000;10;;;
210218;0000;6;;;
210219;0000;8;;;
210220;0000;10;;;
210221;0000;9;;;
210222;0000;9;;;
210223;0000;11;;;
210224;0000;14;;;
210225;0000;16;;;
210226;0000;17;;;
210227;0000;18;;;
210228;0000;13;;;
210301;0000;13;;;
210302;0000;16;;;
210303;0000;16;;;
210304;0000;14;;;
210305;0000;14;;;
210306;0000;11;;;
210307;0000;11;;;
210308;0000;11;;;
