FECHA (YYMMDD);MP25;PM10
260814;14,0;54,0
260815;11,0;24,0
260816;15,0;29,0
260817;12,0;31,0
260818;18,0;59,0
260819;18,0;66,0
260820;29,0;102,0
260821;37,0;137,0
260822;30,0;101,0
260823;31,0;89,0
260824;32,0;86,0
260825;11,0;51,0
260826;8,0;25,0
260827;10,0;30,0
260828;9,0;45,0
260829;13,0;57,0
260830;14,0;50,0
260831;6,0;35,0
260901;17,0;87,0
260902;15,0;75,0
260903;7,0;50,0
260904;12,0;62,0
260905;23,0;80,0
260906;22,0;69,0
260907;10,0;73,0
260908;12,0;63,0
260909;11,0;65,0
260910;17,0;88,0
260911;8,0;33,0
260912;16,0;56,0
