Horizonte;Modelo;Tipo;RMSE_Train;MAE_Train;MAPE_Train;R2_Train;RMSE_Val;MAE_Val;MAPE_Val;R2_Val;RMSE_Test;MAE_Test;MAPE_Test;R2_Test
24h;Seasonal Naive (s=7);Baseline;15,0395;10,0537;55,6228;-0,0137;13,2518;8,8845;50,9275;0,0726;14,3825;9,8633;56,119;0,157
24h;LightGBM;Por Defecto;2,5799;1,8297;11,8739;0,9702;7,3461;5,1341;30,1504;0,715;8,7163;6,1708;32,8953;0,6904
24h;XGBoost;Por Defecto;0,5749;0,411;2,7918;0,9985;7,6263;5,2913;32,9659;0,6929;9,4301;6,5466;33,6383;0,6376
24h;CatBoost;Por Defecto;2,4639;1,8819;12,4195;0,9728;7,4723;5,2295;29,7846;0,7051;9,0823;6,1917;32,0526;0,6638
24h;LightGBM;Tuneado (Optuna);5,475;3,7185;22,2527;0,8657;6,9215;4,8243;28,5092;0,747;8,7973;6,0348;31,9117;0,6846
24h;XGBoost;Tuneado (Optuna);5,6047;3,8631;23,2591;0,8592;6,7945;4,7021;28,119;0,7562;8,6295;5,9242;31,4786;0,6965
24h;CatBoost;Tuneado (Optuna);7,1829;4,8602;28,4471;0,7688;7,0277;4,9659;29,1836;0,7392;8,8964;6,1734;32,5343;0,6774
48h;Seasonal Naive (s=7);Baseline;15,0018;10,0116;55,865;-0,0085;13,5334;9,0;53,6716;0,0312;13,7496;9,5686;53,9627;0,2316
48h;LightGBM;Por Defecto;3,1167;2,2218;14,9446;0,9565;9,5087;6,3553;39,9233;0,5217;11,2068;8,0198;48,1214;0,4895
48h;XGBoost;Por Defecto;0,5454;0,3789;2,5787;0,9987;9,7498;6,5096;40,3859;0,4972;11,5487;8,0531;46,6656;0,4579
48h;CatBoost;Por Defecto;2,7825;2,143;14,6531;0,9653;8,8692;6,0797;37,7171;0,5839;10,896;7,6531;44,8647;0,5174
48h;LightGBM;Tuneado (Optuna);8,658;5,7846;34,7831;0,6641;8,6414;5,9279;37,7077;0,605;10,761;7,5743;45,2668;0,5293
48h;XGBoost;Tuneado (Optuna);8,7765;5,9438;36,2142;0,6548;8,644;5,9939;38,6527;0,6048;10,8345;7,6148;46,5266;0,5229
48h;CatBoost;Tuneado (Optuna);7,6983;5,2877;32,6053;0,7344;8,4991;5,9671;37,3101;0,6179;10,8862;7,6494;43,8654;0,5183
72h;Seasonal Naive (s=7);Baseline;14,9855;10,1732;56,8931;-0,0063;13,0621;8,738;52,0125;0,098;13,8046;10,0551;54,1382;0,2264
72h;LightGBM;Por Defecto;3,0721;2,1971;14,5207;0,9577;9,4494;6,5648;42,5651;0,528;11,8903;8,283;51,7792;0,4261
72h;XGBoost;Por Defecto;0,6216;0,4406;3,0867;0,9983;9,613;6,7376;43,6469;0,5115;12,6431;8,9887;55,8444;0,3511
72h;CatBoost;Por Defecto;2,7452;2,1108;14,5002;0,9662;9,2219;6,378;41,3274;0,5504;11,5574;7,929;49,2331;0,4577
72h;LightGBM;Tuneado (Optuna);7,7294;5,2949;32,5288;0,7323;8,7628;6,1369;39,8711;0,5941;11,745;8,2226;51,1014;0,44
72h;XGBoost;Tuneado (Optuna);9,2815;6,2608;38,0143;0,614;8,9422;6,2301;40,6572;0,5773;11,3745;8,0025;49,8252;0,4748
72h;CatBoost;Tuneado (Optuna);9,0982;6,1754;37,2925;0,6291;8,8767;6,1706;39,8365;0,5834;11,1983;7,897;48,323;0,4909
