iter	Passed	Remaining
0	1	219
1	2	226
2	3	223
3	4	216
4	5	215
5	6	212
6	7	211
7	8	212
8	9	211
9	11	219
10	12	217
11	13	214
12	14	212
13	15	209
14	16	208
15	17	206
16	19	204
17	20	202
18	21	201
19	22	200
20	23	198
21	24	197
22	25	197
23	26	196
24	27	194
25	28	192
26	29	191
27	31	191
28	32	190
29	33	189
30	34	189
31	37	194
32	38	196
33	40	197
34	42	198
35	43	198
36	44	197
37	45	195
38	47	196
39	48	195
40	50	194
41	51	192
42	52	190
43	53	188
44	54	186
45	55	185
46	56	185
47	58	184
48	59	182
49	60	180
50	61	179
51	62	177
52	63	175
53	64	174
54	65	172
55	66	170
56	67	169
57	68	168
58	69	166
59	70	164
60	71	163
61	73	163
62	74	161
63	75	160
64	76	158
65	77	157
66	78	155
67	79	154
68	80	153
69	81	151
70	82	150
71	83	148
72	84	147
73	85	145
74	86	144
75	88	143
76	89	142
77	90	141
78	91	139
79	92	138
80	93	137
81	94	135
82	95	134
83	96	133
84	97	132
85	98	130
86	99	129
87	100	128
88	101	126
89	102	125
90	103	124
91	105	123
92	106	122
93	107	120
94	108	119
95	109	118
96	110	117
97	111	115
98	112	114
99	113	113
100	114	112
101	115	111
102	116	109
103	117	108
104	119	107
105	120	106
106	121	105
107	122	104
108	123	103
109	124	102
110	125	100
111	126	99
112	127	98
113	129	97
114	130	96
115	131	94
116	132	93
117	133	92
118	135	92
119	137	91
120	138	90
121	139	89
122	140	88
123	141	86
124	142	85
125	143	84
126	144	83
127	146	82
128	147	81
129	148	79
130	149	78
131	151	78
132	152	76
133	153	75
134	155	74
135	156	73
136	157	72
137	158	71
138	159	70
139	160	68
140	161	67
141	162	66
142	164	65
143	165	64
144	167	63
145	168	62
146	169	61
147	170	60
148	172	58
149	173	57
150	174	56
151	175	55
152	176	54
153	177	53
154	179	51
155	180	50
156	181	49
157	183	48
158	184	47
159	185	46
160	186	45
161	188	44
162	189	42
163	190	41
164	191	40
165	192	39
166	193	38
167	194	37
168	196	36
169	198	34
170	200	33
171	201	32
172	202	31
173	204	30
174	205	29
175	206	28
176	207	27
177	208	25
178	210	24
179	211	23
180	212	22
181	214	21
182	215	19
183	216	18
184	217	17
185	218	16
186	219	15
187	220	14
188	222	12
189	223	11
190	224	10
191	225	9
192	227	8
193	228	7
194	230	5
195	232	4
196	233	3
197	235	2
198	237	1
199	238	0
